masked,cluster,original_examples,original_count
/product/<NUM>/<NUM>/مایکروفر-رومیزی-سامسونگ-مدل-ME<NUM>,2,/product/7793/9663/مایکروفر-رومیزی-سامسونگ-مدل-ME201,1
/product/<NUM>/<NUM>/سشوار-خانگی-پرنسلی-مدل-PR<NUM>AT,2,/product/31893/62100/سشوار-خانگی-پرنسلی-مدل-PR257AT,1
/product/<NUM>/<NUM>/فشارسنج-بازویی-ایزی-لایف-مدل-HS-<NUM>,2,/product/6021/6638/فشارسنج-بازویی-ایزی-لایف-مدل-HS-2000,1
/product/<NUM>/<NUM>/ساعت-عقربه-ای-دیجیتال-مردانه-CASIO-مدل-GA-<NUM>-<NUM>BDR,2,/product/33384/65380/ساعت-عقربه-ای-دیجیتال-مردانه-CASIO-مدل-GA-1000-1BDR,1
/product/<NUM>/<NUM>/ساعت-مچی-عقربه-ای-زنانه-گس-مدل-W<NUM>L<NUM>,2,/product/6930/7990/ساعت-مچی-عقربه-ای-زنانه-گس-مدل-W22520L1,1
/product/<NUM>/<NUM>/ساعت-عقربه-ای-دیجیتال-اسپرت-CASIO-مدل-GA-<NUM>RG-<NUM>ADR,2,/product/33417/65382/ساعت-عقربه-ای-دیجیتال-اسپرت-CASIO-مدل-GA-110RG-7ADR,1
/product/<NUM>/<NUM>/ساعت-مچی-عقربه-ای-مردانه-CASIO-مدل-EFV-<NUM>BL-<NUM>AVUDF,2,/product/33396/64042/ساعت-مچی-عقربه-ای-مردانه-CASIO-مدل-EFV-520BL-2AVUDF,1
/product/<NUM>/<NUM>/سر-شور-آریا-صنعت-مدل-SN-<NUM>,2,/product/14496/25676/سر-شور-آریا-صنعت-مدل-SN-3270,1
/product/<NUM>/<NUM>/سینک-ظرفشویی-توکار-لتو-مدل-TX-<NUM>,2,/product/4031/20/سینک-ظرفشویی-توکار-لتو-مدل-TX-3,1
/product/<NUM>/<NUM>/صندلی-ماساژور-rain-sport-مدل-RK-<NUM>b,2,/product/21891/46412/صندلی-ماساژور-rain-sport-مدل-RK-2106b,1
/product/<NUM>/<NUM>/تب-سنج-Omron-مدل-GentleTemp-<NUM>,2,/product/31856/62060/تب-سنج-Omron-مدل-GentleTemp-720,1
/product/<NUM>/<NUM>/اتو-مو-بابیلیس-مدل-I-pro-<NUM>-XL-ST<NUM>E,2,/product/27603/56107/اتو-مو-بابیلیس-مدل-I-pro-235-XL-ST389E,1
/product/<NUM>/<NUM>/اتو-مو-بابیلیس-مدل-ST<NUM>E,2,/product/32082/62346/اتو-مو-بابیلیس-مدل-ST481E,1
/product/<NUM>/<NUM>/اپیلاتور-براون-مدل-<NUM>,2,/product/29158/58414/اپیلاتور-براون-مدل-3170,1
/product/<NUM>/<NUM>/تلویزیون-ال-ای-دی-ایکس-ویژن-مدل-LE-<NUM>D<NUM>,2,/product/32718/63159/تلویزیون-ال-ای-دی-ایکس-ویژن-مدل-LE-29D40,1
/product/<NUM>/<NUM>/تلویزیون-ال-ای-دی-ایکس-ویژن-مدل-<NUM>XS<NUM>,2,/product/32437/62798/تلویزیون-ال-ای-دی-ایکس-ویژن-مدل-24XS2450,1
/product/<NUM>/<NUM>/توستر-میدیا-مدل-MG<NUM>CHB,2,/product/33339/63978/توستر-میدیا-مدل-MG25CHB,1
/product/<NUM>/<NUM>/اتو-بخار-بایترون-مدل-BPV-E<NUM>,2,/product/32648/63082/اتو-بخار-بایترون-مدل-BPV-E40,1
/product/<NUM>/<NUM>/میز-عسلی-Persis-مدل-TS<NUM>,2,/product/15448/29282/میز-عسلی-Persis-مدل-TS101,1
/product/<NUM>/<NUM>/چای-ساز-قوری-روی-کتری-فیلیپس-مدل-HD<NUM>,2,/product/13912/23584/چای-ساز-قوری-روی-کتری-فیلیپس-مدل-HD7301,1
/product/<NUM>/<NUM>/همزن-بلک-اند-دکر-مدل-M<NUM>,2,/product/3462/2835/همزن-بلک-اند-دکر-مدل-M330,1
/product/<NUM>/<NUM>/یخچال-فریزر-سینجر-مدل-pearl-SR<NUM>,2,/product/32798/63266/یخچال-فریزر-سینجر-مدل-pearl-SR7,1
/product/<NUM>/<NUM>/پیانو-آکوستیک-دیواری-YAMAHA-مدل-JU<NUM>,2,/product/26350/53953/پیانو-آکوستیک-دیواری-YAMAHA-مدل-JU109,1
